N,P,K,temperature,humidity,ph,rainfall,label
92,41,22,24.84,66.91,6.21,80.59,maize
74,58,23,26.69,57.49,6.6,106.92,maize
67,37,22,23.17,71.84,5.71,99.76,maize
68,39,17,25.33,68.3,6.28,77.94,maize
95,45,23,21.95,62.54,6.19,75.07,maize
90,48,17,26.1,62.68,6.32,105.32,maize
85,38,24,23.65,61.7,5.71,99.7,maize
85,48,24,25.1,58.03,5.97,72.42,maize
90,36,21,24.86,72.54,6.01,101.06,maize
64,56,16,21.58,70.95,5.72,71.46,maize
89,53,21,24.25,65.85,5.88,77.28,maize
67,58,21,21.61,64.24,6.92,67.67,maize
83,48,21,18.16,72.44,6.9,88.26,maize
88,58,22,19.37,66.53,6.41,81.21,maize
89,58,24,22.06,57.26,6.98,101.94,maize
65,58,24,22.67,66.83,6.1,62.74,maize
73,55,15,21.0,62.96,6.31,105.99,maize
74,44,22,22.07,59.49,6.18,67.04,maize
67,47,19,26.23,62.25,6.37,91.61,maize
61,52,17,26.65,57.97,6.12,64.27,maize
100,48,21,18.6,70.0,5.81,104.9,maize
68,40,15,22.25,66.3,5.6,98.78,maize
78,48,19,21.61,66.19,5.73,69.1,maize
94,59,19,20.44,67.88,6.11,61.27,maize
66,53,22,18.24,59.44,5.85,93.59,maize
61,38,23,19.61,68.05,5.86,64.97,maize
70,53,24,25.47,62.94,6.5,70.25,maize
72,57,15,18.77,59.16,5.54,69.07,maize
83,46,24,25.36,61.84,5.89,78.98,maize
84,42,21,21.68,66.04,6.15,74.72,maize
98,54,16,25.82,64.75,6.84,99.99,maize
77,36,18,22.87,67.67,5.89,66.97,maize
93,60,20,19.55,60.45,5.53,105.71,maize
65,49,18,22.99,68.03,6.74,70.32,maize
60,38,24,25.87,66.95,6.4,93.25,maize
67,58,19,21.45,65.38,5.57,68.31,maize
90,37,21,20.21,62.79,5.93,77.78,maize
89,42,21,22.28,68.27,6.91,96.63,maize
69,36,18,23.36,56.03,6.24,89.84,maize
73,54,16,18.68,69.56,6.24,94.42,maize
77,41,23,25.19,68.89,5.91,89.51,maize
74,37,24,19.23,74.0,6.17,69.26,maize
82,57,22,25.26,68.18,6.54,102.46,maize
70,47,17,26.89,73.88,5.56,95.28,maize
97,40,21,26.24,55.68,6.55,74.87,maize
97,59,24,22.27,72.24,6.77,75.96,maize
93,36,21,20.07,57.41,5.62,94.81,maize
74,53,16,20.84,65.79,6.69,75.94,maize
85,57,21,20.1,55.49,6.81,61.06,maize
95,48,24,25.19,74.96,6.03,98.36,maize
76,47,21,25.86,74.68,6.65,80.89,maize
77,53,17,18.99,62.09,5.93,74.82,maize
69,36,15,26.89,63.56,6.08,93.98,maize
69,59,23,18.8,63.35,6.82,107.24,maize
79,50,17,26.92,59.63,6.91,92.48,maize
84,48,17,19.59,59.41,5.78,98.98,maize
74,36,25,25.95,73.56,6.99,68.69,maize
76,54,22,19.39,71.32,5.84,71.19,maize
81,50,21,18.82,72.55,5.9,66.48,maize
96,59,24,25.29,68.1,6.33,64.35,maize
76,44,18,24.51,64.92,5.62,71.01,maize
87,37,24,22.46,64.61,6.39,101.23,maize
74,52,21,20.4,72.57,6.7,92.92,maize
94,57,22,25.53,68.95,6.52,90.93,maize
90,39,24,25.85,55.58,6.74,66.44,maize
73,54,17,25.36,71.64,6.26,60.32,maize
71,50,25,23.69,60.2,6.45,87.0,maize
91,38,23,22.87,74.26,6.01,91.63,maize
97,38,24,24.19,56.36,5.95,95.41,maize
63,50,18,23.59,55.91,6.81,108.67,maize
99,54,16,24.82,55.49,5.53,76.18,maize
80,54,22,22.01,60.47,7.0,81.31,maize
78,39,23,24.24,59.42,5.62,94.02,maize
86,42,25,19.36,63.65,6.92,80.99,maize
86,45,18,26.86,63.19,6.84,71.5,maize
69,36,22,21.32,72.29,6.21,108.41,maize
67,57,23,24.94,71.9,6.64,91.31,maize
65,36,24,23.55,70.93,6.22,65.87,maize
65,52,19,19.8,64.83,5.6,89.1,maize
71,55,18,22.1,55.23,5.61,79.62,maize
79,50,18,24.25,72.2,6.67,61.98,maize
79,38,17,26.88,57.85,6.25,90.91,maize
88,49,15,20.94,65.35,5.63,77.53,maize
61,37,19,19.19,66.35,6.53,100.03,maize
68,39,16,23.73,69.13,5.55,106.81,maize
62,49,22,25.84,69.28,6.7,76.97,maize
93,37,24,22.93,71.35,6.18,92.18,maize
81,53,16,18.54,59.94,5.74,103.59,maize
69,59,18,19.64,70.79,6.49,84.91,maize
82,53,17,26.97,74.5,6.48,69.98,maize
87,37,15,20.32,64.25,6.8,96.36,maize
90,46,18,21.34,74.75,5.56,103.35,maize
83,46,22,22.38,72.47,6.85,81.09,maize
71,50,24,19.9,67.46,6.45,96.66,maize
65,53,24,19.62,59.75,6.96,69.05,maize
94,47,17,25.84,63.91,6.27,77.96,maize
84,39,19,26.72,60.16,6.49,76.26,maize
91,38,25,22.08,59.72,5.61,68.49,maize
81,43,23,21.88,59.97,6.43,95.34,maize
23,59,75,19.95,17.98,7.28,90.33,chickpea
36,70,84,17.82,14.67,6.68,66.71,chickpea
31,78,75,17.49,16.71,8.61,74.48,chickpea
30,56,76,20.95,19.79,5.91,93.55,chickpea
33,77,80,19.06,16.93,7.83,69.19,chickpea
21,63,82,17.81,18.04,8.71,67.82,chickpea
33,66,84,17.71,18.16,8.33,93.34,chickpea
34,67,81,20.48,17.42,5.99,92.93,chickpea
34,72,77,19.64,16.36,7.79,68.2,chickpea
33,80,75,20.91,16.44,8.43,88.47,chickpea
31,73,84,18.62,15.96,7.84,89.24,chickpea
35,75,79,20.27,14.72,7.48,65.17,chickpea
26,64,79,19.78,16.33,7.2,72.13,chickpea
27,61,76,19.41,18.01,7.7,78.9,chickpea
28,77,80,18.92,14.15,6.89,76.41,chickpea
28,70,80,19.43,18.59,8.26,86.54,chickpea
39,55,77,17.03,17.88,8.5,72.3,chickpea
39,57,84,18.41,14.61,7.31,72.7,chickpea
26,63,83,19.16,15.87,7.67,86.48,chickpea
25,65,76,17.72,18.09,6.43,80.75,chickpea
34,58,81,18.03,19.78,7.3,89.18,chickpea
31,56,81,20.81,17.61,8.28,91.53,chickpea
25,60,81,18.64,19.04,8.51,75.6,chickpea
25,75,78,20.29,16.54,7.84,67.87,chickpea
32,66,81,17.67,18.42,8.4,71.5,chickpea
22,56,81,19.43,17.28,6.57,76.73,chickpea
32,67,85,17.55,18.17,7.07,77.85,chickpea
34,72,85,17.51,14.62,8.0,82.35,chickpea
25,57,76,20.58,15.15,6.84,71.8,chickpea
27,57,80,17.27,18.8,6.58,81.2,chickpea
38,71,80,18.3,16.0,7.84,94.82,chickpea
33,69,82,18.86,14.36,7.53,93.73,chickpea
24,72,77,19.14,14.58,7.21,87.68,chickpea
27,72,83,20.71,15.41,7.06,69.57,chickpea
40,78,80,20.37,17.13,7.71,67.67,chickpea
35,58,83,20.13,18.25,6.0,74.09,chickpea
25,64,76,20.75,17.32,6.79,76.91,chickpea
29,70,80,20.68,16.98,8.78,90.54,chickpea
24,78,76,20.27,16.28,8.45,91.04,chickpea
36,75,78,17.32,16.42,6.4,85.85,chickpea
27,79,81,20.29,14.8,8.4,92.68,chickpea
30,70,83,17.7,17.02,7.06,69.39,chickpea
27,57,75,17.54,19.78,7.49,93.97,chickpea
29,63,80,18.76,14.63,7.76,71.48,chickpea
32,71,77,17.25,18.68,7.23,66.74,chickpea
40,56,82,20.93,15.44,6.31,68.64,chickpea
26,58,82,17.25,17.06,8.79,89.42,chickpea
32,63,81,19.11,16.56,6.28,91.6,chickpea
29,60,79,18.66,18.97,8.03,88.08,chickpea
20,65,80,17.08,15.56,8.1,69.11,chickpea
31,60,75,17.96,19.86,8.22,93.79,chickpea
30,58,80,18.82,19.07,6.18,79.65,chickpea
23,63,82,18.9,16.26,7.04,78.78,chickpea
36,77,85,20.15,15.89,7.9,78.13,chickpea
25,76,75,20.61,16.77,7.75,84.78,chickpea
38,71,81,17.27,17.11,6.34,87.12,chickpea
30,72,75,17.34,18.3,6.11,67.14,chickpea
20,79,82,18.41,15.78,6.91,88.24,chickpea
33,60,77,17.39,17.96,8.12,72.95,chickpea
20,57,85,18.18,18.62,7.71,76.46,chickpea
24,58,81,20.1,17.86,7.44,66.26,chickpea
39,75,78,20.92,17.61,7.59,87.44,chickpea
36,71,76,18.35,19.57,6.55,76.17,chickpea
29,66,81,20.77,15.44,6.25,70.92,chickpea
38,71,78,20.26,19.17,8.35,92.57,chickpea
25,74,80,20.37,18.37,8.15,84.68,chickpea
24,69,85,20.75,14.26,6.38,68.95,chickpea
35,75,77,19.02,19.04,8.03,81.27,chickpea
32,68,78,19.26,18.13,8.43,84.09,chickpea
35,59,80,17.04,15.48,8.01,94.75,chickpea
22,65,83,17.82,17.33,8.03,83.48,chickpea
24,64,83,19.22,14.03,8.11,66.06,chickpea
35,60,85,18.47,15.96,6.33,74.17,chickpea
38,80,79,18.79,18.33,8.47,82.79,chickpea
28,65,82,17.01,17.72,6.93,88.83,chickpea
22,70,80,19.57,14.39,7.58,81.84,chickpea
31,70,82,20.22,15.62,8.29,79.95,chickpea
22,56,78,20.14,18.25,8.19,80.52,chickpea
29,59,78,18.74,14.53,6.54,82.95,chickpea
35,80,84,19.57,16.53,7.74,88.57,chickpea
22,65,83,18.54,17.43,7.6,70.53,chickpea
27,63,75,17.1,18.99,6.69,80.54,chickpea
26,79,78,18.72,19.24,8.34,70.58,chickpea
36,66,80,17.53,14.48,8.01,79.89,chickpea
29,73,83,17.64,17.66,6.29,87.54,chickpea
33,79,76,17.23,15.69,6.66,72.41,chickpea
38,61,78,20.04,16.7,8.15,66.96,chickpea
30,56,76,20.63,14.84,7.44,77.33,chickpea
27,77,75,19.66,19.78,7.52,93.1,chickpea
21,65,78,19.92,19.89,6.64,84.63,chickpea
24,69,80,20.89,17.65,6.91,68.42,chickpea
23,61,78,20.4,17.37,7.42,68.44,chickpea
37,73,76,19.83,17.26,6.14,78.75,chickpea
30,59,84,20.4,18.01,7.24,77.35,chickpea
33,69,76,19.05,18.84,7.23,66.56,chickpea
36,60,78,17.66,15.98,8.09,80.58,chickpea
24,77,84,20.48,15.43,7.21,94.55,chickpea
35,56,76,18.86,19.46,7.46,79.93,chickpea
22,71,83,18.52,18.65,8.7,71.11,chickpea
30,62,83,19.31,17.81,8.21,76.88,chickpea
38,68,17,21.96,23.55,5.66,137.15,kidneybeans
38,62,25,16.41,19.41,5.59,140.46,kidneybeans
31,59,19,21.15,18.58,5.94,132.32,kidneybeans
28,79,19,24.84,22.68,5.82,74.94,kidneybeans
37,66,17,15.13,21.92,5.76,124.74,kidneybeans
37,57,22,16.87,24.01,5.91,108.67,kidneybeans
33,63,20,23.22,21.21,5.68,104.48,kidneybeans
36,63,17,22.12,23.78,5.55,81.59,kidneybeans
19,64,20,22.49,22.56,5.81,91.71,kidneybeans
36,67,25,21.34,18.88,5.84,89.26,kidneybeans
32,57,17,23.56,19.59,5.92,85.13,kidneybeans
31,72,20,18.05,19.49,5.52,87.36,kidneybeans
31,78,24,22.66,23.52,5.83,83.43,kidneybeans
38,72,21,16.11,21.13,5.73,137.81,kidneybeans
29,65,25,16.11,20.96,5.52,126.59,kidneybeans
38,62,24,17.92,24.38,5.88,132.44,kidneybeans
15,79,22,18.05,23.81,5.64,138.55,kidneybeans
18,73,20,15.97,19.69,5.51,102.19,kidneybeans
23,70,18,18.0,23.2,5.52,141.26,kidneybeans
36,72,21,23.92,19.3,5.54,81.56,kidneybeans
35,56,21,24.95,23.99,5.76,65.73,kidneybeans
36,70,16,15.94,24.37,5.83,134.64,kidneybeans
37,69,20,19.3,20.22,5.72,129.65,kidneybeans
30,77,19,21.07,22.42,5.8,123.24,kidneybeans
21,68,16,18.85,21.41,5.83,145.55,kidneybeans
30,74,20,21.34,18.5,5.63,92.57,kidneybeans
27,56,16,17.77,24.8,5.67,103.38,kidneybeans
20,70,18,17.07,21.62,5.5,60.69,kidneybeans
20,56,16,18.39,23.62,5.79,106.14,kidneybeans
22,78,19,15.87,22.32,5.56,91.07,kidneybeans
28,77,20,22.02,24.95,5.57,84.73,kidneybeans
25,66,19,24.08,23.0,5.8,87.84,kidneybeans
36,79,23,15.02,22.45,5.53,83.18,kidneybeans
16,70,22,16.14,20.69,5.73,93.21,kidneybeans
18,65,23,15.71,18.56,5.68,144.76,kidneybeans
32,72,19,20.94,18.07,5.82,142.2,kidneybeans
30,77,22,16.21,24.32,5.53,108.06,kidneybeans
19,55,19,17.95,21.4,5.79,63.94,kidneybeans
18,69,18,22.29,22.57,5.92,122.32,kidneybeans
26,72,18,18.06,23.52,5.72,131.85,kidneybeans
36,76,24,19.31,20.23,5.79,93.41,kidneybeans
30,73,22,18.75,19.17,5.72,72.83,kidneybeans
37,64,17,15.25,22.52,5.82,90.65,kidneybeans
17,65,18,21.77,22.24,5.68,79.61,kidneybeans
40,66,22,16.41,21.4,5.51,105.49,kidneybeans
39,65,15,15.31,20.72,5.58,62.1,kidneybeans
34,66,18,24.0,18.81,5.98,88.26,kidneybeans
37,70,23,24.84,20.02,5.98,95.05,kidneybeans
25,64,20,16.54,21.88,5.77,128.57,kidneybeans
36,66,18,17.59,19.36,5.53,90.82,kidneybeans
22,79,21,18.47,22.06,5.57,99.96,kidneybeans
31,67,19,24.94,24.16,5.81,111.24,kidneybeans
31,60,19,15.39,21.33,5.77,80.5,kidneybeans
39,78,22,20.33,24.09,5.57,131.15,kidneybeans
18,75,18,23.77,24.61,5.57,101.64,kidneybeans
40,67,24,20.89,20.63,5.64,78.29,kidneybeans
34,65,20,19.92,22.04,5.93,148.27,kidneybeans
25,76,23,20.74,24.69,5.6,69.83,kidneybeans
36,66,23,23.93,18.44,5.94,100.35,kidneybeans
28,71,24,15.19,21.34,5.84,125.04,kidneybeans
32,58,18,18.59,23.63,5.64,78.96,kidneybeans
39,55,25,21.77,23.8,5.65,61.29,kidneybeans
33,76,22,16.43,23.27,5.88,119.27,kidneybeans
34,76,21,15.89,21.41,5.54,96.68,kidneybeans
25,57,18,16.11,23.66,5.97,66.51,kidneybeans
39,68,18,15.77,21.5,5.9,123.64,kidneybeans
16,57,19,17.95,19.63,5.64,132.31,kidneybeans
38,65,24,18.21,21.34,5.61,117.64,kidneybeans
39,70,19,21.48,18.86,5.94,105.28,kidneybeans
26,70,21,15.72,22.78,5.62,124.26,kidneybeans
36,75,21,20.2,19.0,5.89,84.43,kidneybeans
27,62,16,21.3,18.38,5.87,88.58,kidneybeans
15,68,15,17.76,22.95,5.53,135.54,kidneybeans
15,61,22,18.16,18.71,5.68,84.34,kidneybeans
36,63,23,23.92,21.04,5.95,93.96,kidneybeans
39,57,22,19.94,20.71,5.82,123.35,kidneybeans
15,59,22,21.66,24.76,5.88,145.57,kidneybeans
33,62,16,22.82,22.51,5.52,92.4,kidneybeans
39,68,19,19.58,19.46,5.68,93.28,kidneybeans
16,74,19,23.22,23.95,5.61,119.16,kidneybeans
27,77,17,21.78,22.25,5.65,72.29,kidneybeans
31,73,18,21.45,20.77,5.86,77.93,kidneybeans
37,62,19,15.58,18.78,5.76,84.08,kidneybeans
36,55,19,18.37,18.14,5.56,97.23,kidneybeans
27,65,20,20.95,18.07,5.73,146.71,kidneybeans
28,72,18,22.74,23.41,5.76,147.84,kidneybeans
18,55,23,23.07,18.84,5.63,61.58,kidneybeans
22,74,20,18.48,20.6,5.5,86.98,kidneybeans
31,79,23,15.24,24.29,5.89,130.23,kidneybeans
26,65,18,15.66,19.6,5.62,103.57,kidneybeans
34,67,16,24.58,24.6,5.89,149.22,kidneybeans
29,79,16,18.66,19.58,5.6,72.67,kidneybeans
31,75,21,16.47,23.68,5.82,94.93,kidneybeans
32,61,18,24.17,20.03,5.73,140.11,kidneybeans
33,57,16,15.08,22.42,5.72,72.08,kidneybeans
39,68,17,20.01,22.76,5.54,84.72,kidneybeans
35,66,20,19.33,18.31,5.58,100.1,kidneybeans
20,56,23,24.81,23.55,5.93,81.78,kidneybeans
39,60,25,24.95,22.98,5.99,111.26,kidneybeans
21,66,21,15.73,22.36,5.99,77.11,kidneybeans
35,78,24,37.2,48.25,7.44,169.52,pigeonpeas
19,67,22,22.95,52.42,6.6,107.08,pigeonpeas
29,74,20,18.24,30.32,5.76,187.25,pigeonpeas
21,71,17,24.43,59.68,6.77,100.02,pigeonpeas
26,56,20,31.25,34.15,5.58,131.77,pigeonpeas
38,80,15,33.22,43.01,5.86,169.2,pigeonpeas
38,79,21,25.14,57.56,5.48,149.23,pigeonpeas
24,71,17,21.83,62.14,5.07,143.13,pigeonpeas
21,56,15,21.5,60.34,5.56,189.8,pigeonpeas
30,66,21,28.33,56.56,5.56,127.07,pigeonpeas
37,79,24,26.39,57.31,6.09,142.24,pigeonpeas
20,70,17,24.63,59.93,5.36,97.47,pigeonpeas
17,79,20,26.19,58.38,7.06,124.88,pigeonpeas
32,74,22,21.03,60.66,6.26,119.66,pigeonpeas
26,56,16,33.31,30.0,5.92,144.86,pigeonpeas
16,79,17,24.08,40.64,5.42,90.15,pigeonpeas
33,79,17,31.26,55.97,7.09,134.38,pigeonpeas
23,63,22,34.34,36.36,5.8,184.7,pigeonpeas
35,80,23,25.86,50.67,6.58,98.24,pigeonpeas
29,73,17,33.61,50.43,7.37,94.45,pigeonpeas
22,70,18,32.29,56.57,5.08,143.95,pigeonpeas
28,64,24,34.55,54.4,6.73,138.48,pigeonpeas
38,72,22,35.23,39.59,6.98,110.5,pigeonpeas
24,63,25,35.13,54.54,6.76,149.02,pigeonpeas
39,67,19,21.26,57.52,6.78,130.36,pigeonpeas
16,76,15,32.07,63.96,5.98,114.67,pigeonpeas
33,75,20,37.34,31.81,6.16,165.44,pigeonpeas
37,59,23,29.05,43.88,5.16,180.86,pigeonpeas
19,63,18,35.43,53.54,6.95,116.3,pigeonpeas
31,69,23,36.12,30.43,6.62,95.44,pigeonpeas
29,62,18,25.06,51.75,5.7,166.93,pigeonpeas
25,57,23,23.72,45.15,6.65,124.91,pigeonpeas
16,64,24,30.83,53.5,6.51,110.89,pigeonpeas
25,74,16,23.56,39.67,5.97,192.94,pigeonpeas
17,68,17,37.41,33.97,5.89,167.48,pigeonpeas
33,66,18,25.95,39.25,5.35,140.72,pigeonpeas
22,62,22,37.37,51.13,5.01,97.94,pigeonpeas
39,62,16,29.98,51.83,6.55,118.08,pigeonpeas
15,79,18,31.52,54.73,6.45,122.86,pigeonpeas
22,70,24,36.93,33.71,5.22,189.2,pigeonpeas
33,77,17,29.75,54.54,6.64,132.86,pigeonpeas
15,70,18,27.01,63.52,5.88,178.18,pigeonpeas
20,72,25,20.04,30.29,5.97,99.73,pigeonpeas
34,78,19,23.17,45.2,6.75,90.95,pigeonpeas
30,70,21,22.84,54.99,5.05,110.92,pigeonpeas
37,73,15,22.97,37.5,5.53,115.99,pigeonpeas
17,66,22,30.13,53.55,5.02,189.91,pigeonpeas
36,75,23,36.65,49.05,5.34,154.76,pigeonpeas
34,73,20,19.37,42.99,7.29,151.37,pigeonpeas
28,62,19,35.91,53.33,6.93,137.71,pigeonpeas
31,61,22,26.55,45.49,6.55,188.31,pigeonpeas
17,76,18,26.88,30.77,5.61,142.78,pigeonpeas
16,67,24,20.11,56.76,5.91,158.79,pigeonpeas
22,59,17,19.41,36.5,6.59,182.58,pigeonpeas
35,72,16,23.78,40.84,5.47,144.08,pigeonpeas
28,64,19,34.57,57.63,5.63,185.95,pigeonpeas
39,63,19,28.11,62.94,7.17,100.77,pigeonpeas
25,69,20,21.88,60.06,6.63,177.98,pigeonpeas
36,74,19,30.21,35.61,6.62,108.82,pigeonpeas
32,61,16,21.31,30.07,6.74,166.9,pigeonpeas
28,59,16,18.38,35.8,7.21,115.36,pigeonpeas
24,58,17,28.38,51.27,5.46,96.06,pigeonpeas
25,61,17,37.2,51.57,6.3,133.66,pigeonpeas
26,69,22,32.04,36.01,6.15,133.26,pigeonpeas
37,71,20,20.31,51.2,5.12,125.41,pigeonpeas
19,72,17,25.84,61.35,5.35,143.32,pigeonpeas
25,55,23,19.38,46.6,6.31,155.98,pigeonpeas
32,61,15,32.47,48.75,7.06,176.25,pigeonpeas
36,67,18,33.83,45.8,5.3,179.77,pigeonpeas
37,67,16,25.76,58.12,7.23,111.36,pigeonpeas
17,77,19,28.84,63.88,4.98,158.07,pigeonpeas
17,64,23,26.67,64.9,6.31,123.72,pigeonpeas
21,64,19,19.37,42.94,6.05,165.89,pigeonpeas
31,73,15,22.35,53.16,6.11,90.56,pigeonpeas
35,74,20,19.33,56.83,6.38,172.11,pigeonpeas
34,75,20,20.81,53.49,6.48,167.94,pigeonpeas
19,60,24,33.0,61.79,6.85,152.7,pigeonpeas
31,77,21,30.65,35.48,6.08,165.22,pigeonpeas
22,60,18,22.83,37.52,5.95,185.32,pigeonpeas
28,60,16,31.92,43.4,7.02,159.25,pigeonpeas
35,62,22,23.28,62.87,6.52,124.07,pigeonpeas
22,60,22,22.37,50.84,5.51,159.51,pigeonpeas
35,74,23,21.75,33.09,6.69,128.68,pigeonpeas
26,56,18,18.67,60.77,5.46,148.52,pigeonpeas
16,72,18,35.96,61.08,5.68,184.6,pigeonpeas
40,76,23,22.98,50.18,4.98,99.97,pigeonpeas
40,63,22,34.13,60.03,7.49,115.36,pigeonpeas
16,65,16,18.45,42.61,6.92,149.45,pigeonpeas
23,71,17,18.29,56.75,6.48,170.04,pigeonpeas
16,76,21,29.27,51.86,7.13,151.63,pigeonpeas
30,80,23,26.85,54.76,5.85,114.03,pigeonpeas
30,78,24,24.84,48.47,5.37,194.54,pigeonpeas
40,71,23,32.3,50.76,4.94,137.75,pigeonpeas
32,72,19,36.83,35.86,6.15,162.54,pigeonpeas
32,71,18,21.12,52.26,6.42,108.83,pigeonpeas
33,66,22,34.75,35.94,4.85,171.81,pigeonpeas
30,72,23,34.06,63.63,6.25,141.29,pigeonpeas
25,59,21,23.54,62.25,6.37,152.25,pigeonpeas
24,56,15,26.47,32.96,6.44,182.5,pigeonpeas
37,71,17,35.26,61.01,5.33,167.43,pigeonpeas
22,55,25,24.24,62.43,7.55,73.8,mothbeans
27,56,16,26.68,41.68,9.84,66.76,mothbeans
36,58,16,27.08,41.78,4.87,40.32,mothbeans
27,42,16,25.34,43.68,9.82,64.17,mothbeans
39,46,18,30.39,48.16,5.45,40.46,mothbeans
18,41,19,29.39,41.56,4.87,66.41,mothbeans
19,44,24,25.24,42.07,6.65,43.61,mothbeans
29,55,16,28.65,52.64,4.44,58.08,mothbeans
22,47,16,27.68,47.66,8.85,32.56,mothbeans
25,46,22,28.59,56.68,8.55,68.8,mothbeans
23,48,23,31.92,62.24,5.91,38.78,mothbeans
27,54,20,27.87,60.96,5.85,68.69,mothbeans
